product,img,score,title,pros,cons,body
Geweo Wandelschoenen Unisex - Outdoorschoenen - Outdoor Antislip - Waterdicht en Ademend - Zwart - Maat 44,https://media.s-bol.com/mXjlyRo3KJ2n/x2Kjyl/550x544.jpg,klantbeoordeling: 4 van de 5 sterren,Goedkope behandeling.,[],['Voldoet niet aan verwachting'],De manier van afleveren slaat nergens op. Schoenen in een plastic zak zonder afleveringsbewijs  . Verpakking en aflevering  mag zeker beter.
Geweo Wandelschoenen Unisex - Outdoorschoenen - Outdoor Antislip - Waterdicht en Ademend - Zwart - Maat 44,https://media.s-bol.com/mXjlyRo3KJ2n/x2Kjyl/550x544.jpg,klantbeoordeling: 5 van de 5 sterren,goed,"['Voldoet aan verwachting', 'Goede kwaliteit', 'Handig in gebruik']",[],goed！！
Geweo Wandelschoenen Unisex - Outdoorschoenen - Outdoor Antislip - Waterdicht en Ademend - Zwart - Maat 44,https://media.s-bol.com/mXjlyRo3KJ2n/x2Kjyl/550x544.jpg,klantbeoordeling: 5 van de 5 sterren,Happy,['Voldoet aan verwachting'],[],Super goede service en bezorging!
Grisport Torino Mid Wandelschoenen Unisex - Grey - Maat 43,https://media.s-bol.com/mlo2wplYMxA/550x364.jpg,klantbeoordeling: 1 van de 5 sterren,"Zeer slechte kwaliteit, niet kopen!","['Kleur komt overeen met afbeelding', 'Gebruiksvriendelijk']","['voldoet niet aan verwachting', 'slechte kwaliteit', 'slechte prijs/kwaliteit verhouding']","Deze schoenen zijn erg slecht. Het eerste paar dat ik bestelde had na +/- 4 (ongeveer 450 kilometer lopen) weken de beide zolen van links naar rechts volledig doorgescheurd. Ik kreeg van Bol (super service!) een nieuw paar toegestuurd en dat is na ongeveer de zelfde tijd en afstand in dezelfde staat. Ik krijg nu mijn geld van Bol terug, maar ik zal dit merk 'schoenen' nooit meer kopen. Wees gewaarschuwd, deze schoenen gaan maximaal 500 kilometer mee!!!"
Grisport Torino Mid Wandelschoenen Unisex - Grey - Maat 43,https://media.s-bol.com/mlo2wplYMxA/550x364.jpg,klantbeoordeling: 2 van de 5 sterren,"Helaas, slechte kwaliteit",[],"['voldoet niet aan verwachting', 'slechte kwaliteit']","In juni besteld, helaas valt de zool uit nu al volledig uit elkaar. Erg teleurstellend.. de lage variant beviel mij beter, helaas niet meer te verkrijgen"
Grisport Torino Mid Wandelschoenen Unisex - Grey - Maat 43,https://media.s-bol.com/mlo2wplYMxA/550x364.jpg,klantbeoordeling: 3 van de 5 sterren,pasvorm ok maar natte voeten,[],"['voldoet niet aan verwachting', 'slechte kwaliteit', 'niet gebruiksvriendelijk']","Ik heb deze schoenen nu 5 x gedragen tijdens wandelingen met de hond. Ik heb ze behandeld met waterafstotende spray , dit helpt voor de bovenkant maar mijn wandelsokken  zijn nat aan de onderkant en dit is niet vanwege zweetvoeten!Altijd de duurdere variant grisport gehad deze waren prima helaas zeer teleurgesteld"
Grisport Torino Mid Wandelschoenen Unisex - Grey - Maat 43,https://media.s-bol.com/mlo2wplYMxA/550x364.jpg,klantbeoordeling: 5 van de 5 sterren,goede wandelschoen,[],[],"na mijn afgedankte wandelschoenen heb ik via bol een goede en lichte wandelschoen gevonden, je loopt er zo mee weg ze zijn niet zwaar en ook niet duur, het materiaal is waterafstotend en de zool is stevig"
Grisport Torino Mid Wandelschoenen Unisex - Grey - Maat 43,https://media.s-bol.com/mlo2wplYMxA/550x364.jpg,klantbeoordeling: 4 van de 5 sterren,Heerlijke wandelschoen,"['voldoet aan verwachting', 'Goede kwaliteit', 'handig in gebruik']",[],Ze gaan niet lang mee. Maar ik moet er bij zeggen dat ik gemiddeld 300 km per maand loop. Na 3 a 4 maanden zijn ze aan vervanging toe. Ze lopen meteen heel erg lekker daarom bestel ik ze steeds weer opnieuw
Grisport Torino Mid Wandelschoenen Unisex - Grey - Maat 43,https://media.s-bol.com/mlo2wplYMxA/550x364.jpg,klantbeoordeling: 2 van de 5 sterren,Schoen,[],['slechte kwaliteit'],Gekocht in september 2019Nu de zool stuk vandaag gebeld krijg weer nieuwe oude weer op sturen
Skechers Arch Fit Discover Elevation G Dames Laarzen - Zwart/Blauw - Maat 39,https://media.s-bol.com/r5X2PDx1mBXw/GmyQOy/550x444.jpg,klantbeoordeling: 5 van de 5 sterren,Fijne wandelschoenen,"['Mooie pasvorm', 'Kleur komt overeen met afbeelding', 'Licht']",[],Fijne lichte wandelschoenen met prima pasvorm
The North Face M HEDGEHOG FASTPACK WP (EU) Wandelschoenen Mannen - Maat 43,https://media.s-bol.com/qAlEg0KAZG67/r0r3L9K/550x245.jpg,klantbeoordeling: 5 van de 5 sterren,Heerlijk zittende lichtgewicht wandelschoenen.,[],[],"Ik heb al jaren wandelschoenen van The North face en die bevallen uitstekend. Ze zijn licht aan de voeten, waterdicht en geschikt voor ruw terrein. En gaan lang mee."
